#############################################################
#                                                           #
#    #    ##   #  #   #                           #         #
#   # #  #  #  #  #  # #                          #         #
#  ##### #  #  #  # #####  ##  ###  #  #  ## ###  ###       #
#  #   # #  #  #  # #   # #  # #  # #  # #   #  # #  #      #
#  #   # #  #  #  # #   # #  # #  # #  #   # #  # #  #      #
#  #   #  ## #  ##  #   #  ### ###   ### ##  ###  #  #      #
#                            # #             #              #
#                          ##  #             #              #
#                                                           #
#############################################################
#
#    Fluid definition autoexported by AQUAgpusph.
#    Particle needed data are:
#        Position
#        Normal      (Fluid particles can have null normal)
#        Velocity
#        Mass
#    Particle optional data are (sorted):
#        Imove       (1)
#        Density     (refd)
#        Sound speed (cs)
#        KernelH     (h)
#        Ifluid      (ifluid)
#        DensityRate (0.0)
#        Force       ([0,0,0])
#
#    Normal direction is not relevant, but ensure that for
#    solid vertexes are normalised.
#
#############################################################
0.00151515151515 0.00151515151515 0.00428571428571 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 1000.68373876, 0.0, 2.62543287095e-05, 1
0.00454545454545 0.00151515151515 0.00428571428571 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 1000.68373876, 0.0, 2.62543287095e-05, 1
0.00757575757576 0.00151515151515 0.00428571428571 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 1000.68373876, 0.0, 2.62543287095e-05, 1
0.0106060606061 0.00151515151515 0.00428571428571 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 1000.68373876, 0.0, 2.62543287095e-05, 1
0.0136363636364 0.00151515151515 0.00428571428571 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 1000.68373876, 0.0, 2.62543287095e-05, 1
0.0166666666667 0.00151515151515 0.00428571428571 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 1000.68373876, 0.0, 2.62543287095e-05, 1
0.019696969697 0.00151515151515 0.00428571428571 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 1000.68373876, 0.0, 2.62543287095e-05, 1
0.0227272727273 0.00151515151515 0.00428571428571 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 1000.68373876, 0.0, 2.62543287095e-05, 1
0.0257575757576 0.00151515151515 0.00428571428571 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 1000.68373876, 0.0, 2.62543287095e-05, 1
0.0287878787879 0.00151515151515 0.00428571428571 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 0.0 0.0 0.0 0.0, 1000.68373876, 0.0, 2.62543287095e-05, 1
